time_step,bearing_temp,engine_speed,engine_load,lub_oil_inlet_temp,lub_oil_pressure,axial_vibration,engine_st_aft_brg_temp1,engine_intermed_shaft_brg_temp,cooling_water_temp,engine_air_temp,status,draft_fore,draft_aft,vs,relative_wind_speed,energy_efficiency_index,rudder_angle,depth
0.001483,0.742531,0.914178,0.591581,0.695579,0.946675,0.812934,0.817541,0.801175,0.814335,0.871828,1.000000,0.003592,0.039184,0.921903,0.263349,0.872301,0.496349,0.497995
0.001495,0.740590,0.916213,0.589337,0.689476,0.943857,0.814548,0.816101,0.804092,0.812297,0.871291,1.000000,0.004973,0.038171,0.922616,0.282715,0.872053,0.497945,0.501850
0.001507,0.740159,0.912727,0.590043,0.683114,0.944370,0.811326,0.817964,0.807161,0.813104,0.869149,1.000000,0.006363,0.043169,0.926338,0.274705,0.870779,0.499440,0.505862
0.001519,0.738619,0.917936,0.590051,0.686959,0.944819,0.811995,0.820998,0.802339,0.815718,0.870947,1.000000,0.003667,0.044727,0.928497,0.265362,0.872432,0.499962,0.512008
0.001530,0.734729,0.916162,0.591773,0.681700,0.944831,0.814550,0.818749,0.803331,0.820285,0.871917,1.000000,0.003974,0.043460,0.927202,0.270558,0.870972,0.500864,0.515277
0.001542,0.736582,0.912344,0.588321,0.694537,0.944443,0.812859,0.817593,0.805229,0.825213,0.871057,1.000000,0.004735,0.041052,0.927681,0.273130,0.873844,0.500416,0.520139
0.001554,0.734786,0.912769,0.589227,0.698690,0.944248,0.815445,0.821210,0.802475,0.827106,0.869752,0.998336,0.005940,0.040994,0.928071,0.289122,0.871854,0.497551,0.521970
0.001566,0.735986,0.914143,0.590853,0.697047,0.945814,0.815459,0.818915,0.803796,0.826634,0.871078,1.000000,0.006761,0.036155,0.933215,0.271673,0.873306,0.500652,0.524560
0.001577,0.734409,0.917493,0.588137,0.696778,0.946338,0.812243,0.825299,0.804750,0.833645,0.871479,1.000000,0.004987,0.041934,0.931016,0.268690,0.873045,0.497008,0.531066
0.001589,0.737222,0.915933,0.589132,0.698497,0.943891,0.812384,0.819613,0.808516,0.836040,0.870969,1.000000,0.006361,0.039536,0.928730,0.288581,0.871876,0.499928,0.534805
